기간,구분,지표,값,전년 동기,YoY(%),기준선,판정
2026-04-01,⑧ 공장,스파팅 못지움율(%) · 성수공장,,,,전년比 상승 금지,
2026-04-01,⑧ 공장,안심케어 인입률(%) · 성수공장,0.58,0.6,-3.3,전년比 상승 금지,양호
2026-04-01,⑨ 진단,QC 진행률(%) · 성수공장,4.76,0,,,
2026-04-01,⑨ 진단,QC 진행률(%),3.4,0,,,
2026-04-01,⑨ 진단,스파팅 진행률(%),1.0,0,,,
2026-04-01,⑨ 진단,스파팅 결과 미입력률(%),3.6,,,,
2026-04-01,⑨ 진단,스파팅 재세탁율(%),3.55,3.3,7.6,,
2026-04-01,⑨ 진단,출고 의류 수(건),456534,429411,6.3,,
2026-04-01,⑨ 진단,안심케어 인입(건),2060,1155,78.4,,
2026-04-01,⑨ 진단,안심케어 요청 지연 P90(일),10.0,7.0,42.9,,
2026-04-01,⑨ 진단,출고 − QC 시행 간격 중앙값(일),1.0,,,,
2026-05-01,⑤ 품질,QC 부적합률(%),,,,전년比 상승 금지,
2026-05-01,⑤ 품질,스파팅 못지움율(%),,,,전년比 상승 금지,
2026-05-01,⑤ 품질,안심케어 인입률(%),0.48,0.5,-4.0,전년比 상승 금지,양호
2026-05-01,⑧ 공장,QC 부적합률(%) · 군포공장,,,,전년比 상승 금지,
2026-05-01,⑧ 공장,스파팅 못지움율(%) · 군포공장,,,,전년比 상승 금지,
2026-05-01,⑧ 공장,안심케어 인입률(%) · 군포공장,0.44,0.46,-4.3,전년比 상승 금지,양호
2026-05-01,⑨ 진단,QC 진행률(%) · 군포공장,2.1,0,,,
2026-05-01,⑧ 공장,QC 부적합률(%) · 부산공장,,,,전년比 상승 금지,
2026-05-01,⑧ 공장,스파팅 못지움율(%) · 부산공장,,,,전년比 상승 금지,
2026-05-01,⑧ 공장,안심케어 인입률(%) · 부산공장,0.52,0.54,-3.7,전년比 상승 금지,양호
2026-05-01,⑨ 진단,QC 진행률(%) · 부산공장,3.5,0,,,
2026-05-01,⑧ 공장,QC 부적합률(%) · 성수공장,,,,전년比 상승 금지,
2026-05-01,⑧ 공장,스파팅 못지움율(%) · 성수공장,,,,전년比 상승 금지,
2026-05-01,⑧ 공장,안심케어 인입률(%) · 성수공장,0.6,0.62,-3.2,전년比 상승 금지,양호
2026-05-01,⑨ 진단,QC 진행률(%) · 성수공장,4.9,0,,,
2026-05-01,⑨ 진단,QC 진행률(%),3.5,0,,,
2026-05-01,⑨ 진단,스파팅 진행률(%),4.0,0,,,
2026-05-01,⑨ 진단,스파팅 결과 미입력률(%),1.8,,,,
2026-05-01,⑨ 진단,스파팅 재세탁율(%),3.6,3.3,9.1,,
2026-05-01,⑨ 진단,출고 의류 수(건),458034,430811,6.3,,
2026-05-01,⑨ 진단,안심케어 인입(건),2150,1235,74.1,,
2026-05-01,⑨ 진단,안심케어 요청 지연 P90(일),10.0,7.0,42.9,,
2026-05-01,⑨ 진단,출고 − QC 시행 간격 중앙값(일),1.0,,,,
2026-06-01,⑤ 품질,QC 부적합률(%),9.4,,,전년比 상승 금지,
2026-06-01,⑤ 품질,스파팅 못지움율(%),17.5,,,전년比 상승 금지,
2026-06-01,⑤ 품질,안심케어 인입률(%),0.5,0.52,-3.8,전년比 상승 금지,양호
2026-06-01,⑧ 공장,QC 부적합률(%) · 군포공장,,,,전년比 상승 금지,
2026-06-01,⑧ 공장,스파팅 못지움율(%) · 군포공장,,,,전년比 상승 금지,
2026-06-01,⑧ 공장,안심케어 인입률(%) · 군포공장,0.46,0.48,-4.2,전년比 상승 금지,양호
2026-06-01,⑨ 진단,QC 진행률(%) · 군포공장,16.86,0,,,
